id,name,full_name,html_url,description,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count,language,topics,contributors_count,languages_detail,hot_score
614765452,AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",2023-03-16T09:21:07Z,2026-04-04T00:24:36Z,2026-04-03T23:33:54Z,183119,46219,380,Python,"agentic-ai,agents,ai,artificial-intelligence,autonomous-agents,claude,gpt,llama-api,llm,openai,python",100,"{'Python': 9757940, 'TypeScript': 4129122, 'Dart': 203562, 'JavaScript': 123387, 'PLpgSQL': 92369, 'Jinja': 42256, 'C++': 23419, 'CMake': 18862, 'CSS': 16367, 'Shell': 15076, 'Dockerfile': 9972, 'HTML': 3023, 'Ruby': 2803, 'Batchfile': 2732, 'Swift': 2384, 'Makefile': 1902, 'C': 1425, 'Elixir': 1068, 'Kotlin': 140, 'Objective-C': 38}",123747.09999999999
658928958,ollama,ollama/ollama,https://github.com/ollama/ollama,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",2023-06-26T19:39:32Z,2026-04-04T00:44:52Z,2026-04-04T00:45:54Z,167026,15301,2842,Go,"deepseek,gemma,gemma3,glm,go,golang,gpt-oss,llama,llama3,llm,llms,minimax,mistral,ollama,qwen",100,"{'Go': 7034229, 'C': 3325317, 'TypeScript': 397742, 'C++': 132593, 'Objective-C': 58741, 'Shell': 53135, 'PowerShell': 34088, 'CMake': 24508, 'Inno Setup': 14609, 'Dockerfile': 9999, 'Go Template': 8744, 'HTML': 6247, 'AppleScript': 1828, 'JavaScript': 1304, 'CSS': 581}",104815.9
155220641,transformers,huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",2018-10-29T13:56:00Z,2026-04-04T00:19:41Z,2026-04-03T22:16:40Z,158763,32727,2348,Python,"audio,deep-learning,deepseek,gemma,glm,hacktoberfest,llm,machine-learning,model-hub,natural-language-processing,nlp,pretrained-models,python,pytorch,pytorch-transformers,qwen,speech-recognition,transformer,vlm",100,"{'Python': 64639418, 'Dockerfile': 41676, 'Makefile': 3112, 'Shell': 1838, 'Jsonnet': 937}",105085.90000000001
574523116,prompts.chat,f/prompts.chat,https://github.com/f/prompts.chat,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",2022-12-05T13:54:13Z,2026-04-04T00:58:02Z,2026-04-03T22:10:09Z,157181,20604,43,HTML,"ai,artificial-intelligence,awesome-list,chatgpt,chatgpt-prompts,claude,gemini,gpt,gpt-4,llm,machine-learning,nextjs,open-source,openai,prompt-engineering,prompts,prompts-chat,typescript",100,"{'HTML': 13090185, 'MDX': 9801530, 'TypeScript': 4035240, 'JavaScript': 53486, 'CSS': 18958, 'Shell': 18004, 'Dockerfile': 2851}",100499.79999999999
1136590548,everything-claude-code,affaan-m/everything-claude-code,https://github.com/affaan-m/everything-claude-code,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",2026-01-18T00:51:51Z,2026-04-04T01:00:07Z,2026-04-03T22:06:59Z,136117,20076,91,JavaScript,"ai-agents,anthropic,claude,claude-code,developer-tools,llm,mcp,productivity",100,"{'JavaScript': 2183808, 'Python': 157976, 'Shell': 152926, 'Rust': 135912, 'TypeScript': 57031, 'PowerShell': 1547}",87703.0
626805178,dify,langgenius/dify,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.,2023-04-12T07:40:24Z,2026-04-04T00:21:52Z,2026-04-03T23:01:40Z,135666,21137,832,TypeScript,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,gemini,genai,gpt,gpt-4,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,workflow",100,"{'TypeScript': 27799514, 'Python': 23884046, 'JavaScript': 1525264, 'MDX': 679976, 'CSS': 209533, 'HTML': 158437, 'Shell': 68772, 'Dockerfile': 6388, 'PHP': 6106, 'Makefile': 5832, 'Gherkin': 1054, 'Mako': 518}",87750.7
552661142,langchain,langchain-ai/langchain,https://github.com/langchain-ai/langchain,The agent engineering platform,2022-10-17T02:58:36Z,2026-04-04T00:52:19Z,2026-04-04T00:20:08Z,132261,21810,524,Python,"agents,ai,ai-agents,anthropic,chatgpt,deepagents,enterprise,framework,gemini,generative-ai,langchain,langgraph,llm,multiagent,open-source,openai,pydantic,python,rag",100,"{'Python': 11440701, 'Makefile': 59471, 'Shell': 13124, 'XSLT': 7380, 'HTML': 1900, 'Dockerfile': 1060, 'JavaScript': 157}",85909.59999999999
701547123,open-webui,open-webui/open-webui,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",2023-10-06T22:08:27Z,2026-04-04T00:56:00Z,2026-04-03T04:00:01Z,129911,18387,271,Python,"ai,llm,llm-ui,llm-webui,llms,mcp,ollama,ollama-webui,open-webui,openai,openapi,rag,self-hosted,ui,webui",100,"{'Python': 2981379, 'Svelte': 2925294, 'JavaScript': 2281774, 'TypeScript': 459254, 'CSS': 211416, 'Shell': 18299, 'Dockerfile': 8143, 'HTML': 6298, 'Batchfile': 1954, 'Mako': 665, 'Makefile': 643}",83472.7
787076358,firecrawl,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,🔥 The Web Data API for AI - Power AI agents with clean web data,2024-04-15T21:02:29Z,2026-04-04T00:59:15Z,2026-04-04T00:48:45Z,103656,6799,248,TypeScript,"ai,ai-agents,ai-crawler,ai-scraping,ai-search,crawler,data-extraction,html-to-markdown,llm,markdown,scraper,scraping,web-crawler,web-data,web-data-extraction,web-scraper,web-scraping,web-search,webscraping",100,"{'TypeScript': 4175711, 'Python': 1120879, 'Rust': 470397, 'Java': 184006, 'Elixir': 84558, 'Astro': 32336, 'Go': 14502, 'JavaScript': 12726, 'Jupyter Notebook': 10546, 'Shell': 9808, 'Rich Text Format': 5348, 'CSS': 5141, 'Dockerfile': 4032, 'Makefile': 2111, 'HTML': 354, 'Procfile': 132}",64243.299999999996
669879380,LLMs-from-scratch,rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",2023-07-23T18:15:57Z,2026-04-04T01:01:13Z,2026-04-01T00:10:16Z,89918,13737,3,Jupyter Notebook,"ai,artificial-intelligence,chatbot,chatgpt,deep-learning,from-scratch,generative-ai,gpt,language-model,large-language-models,llm,machine-learning,neural-networks,python,pytorch,transformers",58,"{'Jupyter Notebook': 3132357, 'Python': 1012016, 'Dockerfile': 532}",58077.7
